,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled,Unnamed: 0,Coefficient,Weighted_percent_filled
3244,p-o-31,Y-coord,-1.0-1.0,0.5,1170.0,250.0,17.6056338028169,50,0.2347258006863611,4.132496490957061
3245,p-o-32,Y-coord,-1.0-1.0,0.5,1384.0,36.0,2.535211267605634,50,0.2347258006863611,0.5950794946978168
3246,p-o-33,Y-coord,-1.0-1.0,0.5,1336.0,84.0,5.915492957746479,50,0.2347258006863611,1.3885188209615726
3247,p-o-34,Y-coord,-1.0-1.0,0.5,1390.0,30.0,2.112676056338028,50,0.2347258006863611,0.4958995789148473
3248,p-o-35,Y-coord,-1.0-1.0,0.5,1224.0,196.0,13.80281690140845,50,0.2347258006863611,3.2398772489103362
3249,p-o-36,Y-coord,-1.0-1.0,0.5,1117.0,303.0,21.338028169014084,50,0.2347258006863611,5.008585747039958
3250,p-o-37,Y-coord,-1.0-1.0,0.5,1351.0,69.0,4.859154929577465,50,0.2347258006863611,1.140569031504149
3251,p-o-38,Y-coord,-1.0-1.0,0.5,1210.0,210.0,14.788732394366198,50,0.2347258006863611,3.4712970524039317
3252,p-o-39,Y-coord,-1.0-1.0,0.5,1211.0,209.0,14.71830985915493,50,0.2347258006863611,3.4547670664401036
3253,p-o-40,Y-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,50,0.2347258006863611,0.0
3254,p-o-41,Y-coord,-1.0-1.0,0.5,1367.0,53.0,3.732394366197183,50,0.2347258006863611,0.876089256082897
3255,p-o-42,Y-coord,-1.0-1.0,0.5,1257.0,163.0,11.47887323943662,50,0.2347258006863611,2.694387712104004
3256,p-o-43,Y-coord,-1.0-1.0,0.5,1357.0,63.0,4.436619718309859,50,0.2347258006863611,1.0413891157211794
3257,p-o-44,Y-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,50,0.2347258006863611,0.0
3258,p-o-45,Y-coord,-1.0-1.0,0.5,1363.0,57.0,4.014084507042254,50,0.2347258006863611,0.9422091999382101
3259,p-o-46,Y-coord,-1.0-1.0,0.5,1332.0,88.0,6.197183098591549,50,0.2347258006863611,1.4546387648168855
3260,p-o-47,Y-coord,-1.0-1.0,0.5,1387.0,33.0,2.323943661971831,50,0.2347258006863611,0.5454895368063322
3261,p-o-48,Y-coord,-1.0-1.0,0.5,1260.0,160.0,11.267605633802816,50,0.2347258006863611,2.644797754212519
3262,p-o-8,Y-coord,-1.0-1.0,0.5,1239.0,181.0,12.746478873239436,50,0.2347258006863611,2.991927459452912
3263,p-o-9,Y-coord,-1.0-1.0,0.5,1420.0,0.0,0.0,50,0.2347258006863611,0.0
